Estado,PoblaciÃ³n: tamaÃ±o de mercado 1,InversiÃ³n Extranjera Directa Total (Ãºltimo aÃ±o)(mdd),Ãndice de EspecializaciÃ³n (LQ),PIB per cÃ¡pita (PIBE/hab),Presuntos delitos registrados como daÃ±o a la propiedad en las intervenciones de la policÃ­a estatal (fuero comÃºn) ,Entidad Federativa,IED,Concesiones Mineras,Hectáreas,Participacio Empleos Industria Minera Metalica
AGS,1425607,357.4,0.92,368249,421,Aguascalientes,-262498718.3,156,104646.324,0.4029
BC,3769020,2001.3,0.92,424500,448,Baja California,1137621338,571,1076143.617,0.3205
BCS,798447,35.7,1.2,580207,151,Baja California Sur,687370361.3,162,479857.709,0.0143
CAMP,928363,107.2,2.85,498667,43,Campeche,129088134.8,17,6791.044,0.1047
COAH,3146771,35.7,1.41,479146,654,Coahuila de Zaragoza,-251324096.7,1926,1719270.135,0.6234
COL,731391,1572.4,1.05,405742,261,Colima,8811460.5,281,209325.313,0.6864
CHIA,5543828,15790.5,0.62,73076,127,Chiapas,78169677.7,82,798005.972,0.0366
CHIH,3741869,1250.8,0.79,344273,795,Chihuahua,729473754.9,3323,1942961.912,0.7483
CDMX,9209944,35.7,1.33,486689,776,Ciudad de México,9126545898,0,0,0.4182
DUR,1832650,500.3,1.36,194123,150,Durango,100197403,3514,1890929.643,0.7086
GTO,6166934,2610.8,0.85,245968,1185,Guanajuato,-265926269.5,637,316795.623,0.6531
GRO,3540685,1072.1,1.19,109634,177,Guerrero,65005.7,630,752914.507,0.8333
HGO,3082841,0,1.57,181216,218,Hidalgo,134435150.1,404,111248.198,0.3294
JAL,8348151,35.7,0.92,358883,124,Jalisco,481363250.7,1365,1430473.794,0.4424
EDOMEX,16992418,1823.6,0.6,257586,1336,México,754172546.4,236,161208.712,0.3978
MICH,4748846,714.7,0.58,161619,297,Michoacán de Ocampo,23517772.7,783,857100.8,0.7655
MOR,1971520,285.9,0.97,278090,276,Morelos,-36705490.1,47,27004.633,0.0276
NAY,1235456,143,1.81,203307,63,Nayarit,130929931.6,411,308334.108,0.203
NL,5784442,1965.5,0.83,533535,338,Nuevo León,430660034.2,579,368578.012,0.4004
OAX,4132148,35.7,2.78,104877,154,Oaxaca,21707439.4,321,482729.56,0.536
PUE,6583278,1358,0.93,206270,331,Puebla,-43497577.7,314,190868.66,0.3058
QRO,2368467,1143.6,1.17,459256,143,Querétaro,495076141.4,385,102279.727,0.4763
QROO,1857985,71.5,3.22,338227,434,Quintana Roo,186087173.5,0,0,0.0099
SLP,2822255,1036.4,0.76,268358,495,San Luis Potosí,-94146530.2,630,598938.555,0.4727
SIN,3026943,643.3,1.28,253344,226,Sinaloa,124304992.7,1355,970764.458,0.5107
SON,2944840,893.4,1.04,377129,110,Sonora,175414077.8,4411,3918720.824,0.7627
TAB,2402598,35.7,1.91,317131,0,Tabasco,280357727.1,3,1313,0.1485
TAMPS,3527735,965,0.7,320032,329,Tamaulipas,134047409.1,123,109210.594,0.3478
TLAX,1342977,214.4,0.63,148563,3,Tlaxcala,26642566.7,2,4018,0.0829
VER,8062579,821.9,1.01,177655,447,Veracruz de Ignacio de la Llave,12602253,86,206677.921,0.6207
YUC,2320898,571.8,1.7,250036,39,Yucatán,59900569.9,26,22618.635,0.0532
ZAC,1622138,428.8,1.53,145543,212,Zacatecas,-40603107.5,2292,1684197.894,0.9207
